,clubName,pageID
36,Association for Computing Machinery (ACM),https://studentorg.ucsd.edu/Home/Details/8350
37,Association for Women in Mathematics,https://studentorg.ucsd.edu/Home/Details/11922
38,Association of Indian Graduate Students,https://studentorg.ucsd.edu/Home/Details/12062
39,Association of Student Pharmacists at UCSD Skaggs School of Pharmacy,https://studentorg.ucsd.edu/Home/Details/10733
40,Astronomy Club at UCSD,https://studentorg.ucsd.edu/Home/Details/10738
41,Atutu,https://studentorg.ucsd.edu/Home/Details/11971
42,Baha'i Club,https://studentorg.ucsd.edu/Home/Details/10653
43,Basic Life Support Program,https://studentorg.ucsd.edu/Home/Details/11989
44,"Beat @ UCSD, The",https://studentorg.ucsd.edu/Home/Details/8524
45,Beta Theta Pi,https://studentorg.ucsd.edu/Home/Details/11917
46,Bhagat Puran Singh Health Initiative (BPSHI),https://studentorg.ucsd.edu/Home/Details/10770
47,Bioengineering Graduate Society,https://studentorg.ucsd.edu/Home/Details/8397
48,Biological Sciences Student Association,https://studentorg.ucsd.edu/Home/Details/8515
49,Biomedical Engineering Society (BMES),https://studentorg.ucsd.edu/Home/Details/8498
50,Bio-Optimization Society at UCSD,https://studentorg.ucsd.edu/Home/Details/10731
51,Black Student Union,https://studentorg.ucsd.edu/Home/Details/8539
52,Board Game Club,https://studentorg.ucsd.edu/Home/Details/10666
53,Books Beyond Boundaries,https://studentorg.ucsd.edu/Home/Details/10676
54,Books For Prisoners,https://studentorg.ucsd.edu/Home/Details/10677
55,Brazilian Student Association,https://studentorg.ucsd.edu/Home/Details/8389
56,Breakaway Collective Productions,https://studentorg.ucsd.edu/Home/Details/10740
57,Breakin' Club- Body Rock,https://studentorg.ucsd.edu/Home/Details/8484
58,British Student Association,https://studentorg.ucsd.edu/Home/Details/11938
59,Business Council,https://studentorg.ucsd.edu/Home/Details/10659
60,Cal-Animage Beta,https://studentorg.ucsd.edu/Home/Details/8393
61,California Society of Health-System Pharmacists- at UCSD Student Chapter,https://studentorg.ucsd.edu/Home/Details/8505
62,Call of Cthulhu and Murder Mystery Game Club,https://studentorg.ucsd.edu/Home/Details/8551
63,CALPIRG Students,https://studentorg.ucsd.edu/Home/Details/11870
64,Cambodian Student Association,https://studentorg.ucsd.edu/Home/Details/8438
65,Camp HOPE America at UCSD,https://studentorg.ucsd.edu/Home/Details/10815
66,Camp Kesem,https://studentorg.ucsd.edu/Home/Details/8497
67,Campus Crusade for Christ,https://studentorg.ucsd.edu/Home/Details/10669
68,Cancer Outreach Team,https://studentorg.ucsd.edu/Home/Details/10793
69,Catholic Student Community (CSC),https://studentorg.ucsd.edu/Home/Details/9614
70,Catholics for Social Justice,https://studentorg.ucsd.edu/Home/Details/10665
71,CEO GLOBAL at UCSD,https://studentorg.ucsd.edu/Home/Details/9649
72,Chancellor's Scholars Alliance,https://studentorg.ucsd.edu/Home/Details/9647
73,Che Cafe,https://studentorg.ucsd.edu/Home/Details/10813
74,Chem-E-Car Project,https://studentorg.ucsd.edu/Home/Details/8413
75,Chess Club at UCSD,https://studentorg.ucsd.edu/Home/Details/11995
76,Chi Omega,https://studentorg.ucsd.edu/Home/Details/8592
77,Chicanx/Latinx For Community Medicine,https://studentorg.ucsd.edu/Home/Details/10664
78,China Entrepreneur Network,https://studentorg.ucsd.edu/Home/Details/10785
79,Chinese American Student Association,https://studentorg.ucsd.edu/Home/Details/8593
80,Chinese Classic Dance Team,https://studentorg.ucsd.edu/Home/Details/10672
81,Chinese Computer Community,https://studentorg.ucsd.edu/Home/Details/8602
82,Chinese Dance Association,https://studentorg.ucsd.edu/Home/Details/10758
83,Chinese Drama Club (CDC),https://studentorg.ucsd.edu/Home/Details/10732
84,Chinese Engineering Society,https://studentorg.ucsd.edu/Home/Details/12032
85,Chinese Graduate Association,https://studentorg.ucsd.edu/Home/Details/9605
86,Chinese Union,https://studentorg.ucsd.edu/Home/Details/10688
87,Christian Pharmacists Fellowship International (CPFI),https://studentorg.ucsd.edu/Home/Details/8536
88,Christians at UCSD,https://studentorg.ucsd.edu/Home/Details/8493
89,Circle K. International,https://studentorg.ucsd.edu/Home/Details/8446
90,Civil Discourse Club,https://studentorg.ucsd.edu/Home/Details/8374
91,Cognitive Science Student Association,https://studentorg.ucsd.edu/Home/Details/10654
92,College Democrats at UCSD,https://studentorg.ucsd.edu/Home/Details/8369
93,College Republicans at UCSD,https://studentorg.ucsd.edu/Home/Details/9623
94,Colleges Against Cancer,https://studentorg.ucsd.edu/Home/Details/8535
95,Comicbook Club at UCSD,https://studentorg.ucsd.edu/Home/Details/8489
96,Community Leadership Through Service,https://studentorg.ucsd.edu/Home/Details/11890
97,Computer Science and Engineering Society,https://studentorg.ucsd.edu/Home/Details/10747
98,Computer Science for Agriculture,https://studentorg.ucsd.edu/Home/Details/8569
99,Cooking Hub,https://studentorg.ucsd.edu/Home/Details/8525
100,Coptic Club at UCSD,https://studentorg.ucsd.edu/Home/Details/9640
101,Cornerstone Community Consultants,https://studentorg.ucsd.edu/Home/Details/8488
102,Counseling and Psychological Services Peer Education Program,https://studentorg.ucsd.edu/Home/Details/11857
103,CS foreach,https://studentorg.ucsd.edu/Home/Details/10818
104,Cultural Iranian STudent Association (CISTA) (formerly ISTA),https://studentorg.ucsd.edu/Home/Details/10728
105,Darkstar,https://studentorg.ucsd.edu/Home/Details/9597
106,Data Science Student Society at UCSD,https://studentorg.ucsd.edu/Home/Details/8394
107,Daughters of Triton,https://studentorg.ucsd.edu/Home/Details/10752
108,Deejays and Vinylphiles Club,https://studentorg.ucsd.edu/Home/Details/8415
109,Delta Delta Delta,https://studentorg.ucsd.edu/Home/Details/8562
110,Delta Epsilon Mu,https://studentorg.ucsd.edu/Home/Details/9638
111,Delta Gamma,https://studentorg.ucsd.edu/Home/Details/10715
112,Delta Lambda Phi,https://studentorg.ucsd.edu/Home/Details/8402
113,Delta Sigma Pi,https://studentorg.ucsd.edu/Home/Details/8574
114,Design at UCSD,https://studentorg.ucsd.edu/Home/Details/12058
115,Design/Build/Fly,https://studentorg.ucsd.edu/Home/Details/8522
116,Developer Student Club at UC San Diego,https://studentorg.ucsd.edu/Home/Details/10805
117,Dota2 League at UCSD,https://studentorg.ucsd.edu/Home/Details/8553
118,Duly Noted,https://studentorg.ucsd.edu/Home/Details/10649
119,ECE Undergraduate Student Council,https://studentorg.ucsd.edu/Home/Details/8533
120,"Ecology, Behavior and Evolution Club at UCSD",https://studentorg.ucsd.edu/Home/Details/10648
121,Emergency Medical Services at UCSD,https://studentorg.ucsd.edu/Home/Details/11954
122,Empower: Educate and Inspire,https://studentorg.ucsd.edu/Home/Details/8408
123,Engineering World Health,https://studentorg.ucsd.edu/Home/Details/8487
124,Engineers for a Sustainable World,https://studentorg.ucsd.edu/Home/Details/10833
125,Engineers Without Borders at UCSD,https://studentorg.ucsd.edu/Home/Details/8556
126,Envisionaries,https://studentorg.ucsd.edu/Home/Details/11946
127,Eta Kappa Nu (HKN),https://studentorg.ucsd.edu/Home/Details/9650
128,Eta Omega Chi,https://studentorg.ucsd.edu/Home/Details/10692
129,Evangelical Chinese Christian Fellowship,https://studentorg.ucsd.edu/Home/Details/8386
130,Exercise is Medicine,https://studentorg.ucsd.edu/Home/Details/11986
131,Expanding Visions for Health,https://studentorg.ucsd.edu/Home/Details/10789
132,Fair Play Theatre Company,https://studentorg.ucsd.edu/Home/Details/8353
133,Falun Dafa at UCSD,https://studentorg.ucsd.edu/Home/Details/8456
134,Figure Skating @ UCSD,https://studentorg.ucsd.edu/Home/Details/8500
135,Finesse Dance Company,https://studentorg.ucsd.edu/Home/Details/10780
136,First Generation Student Alliance,https://studentorg.ucsd.edu/Home/Details/10663
137,Fisherman's Club,https://studentorg.ucsd.edu/Home/Details/8492
138,Five Millennia Chinese Orchestra,https://studentorg.ucsd.edu/Home/Details/9631
139,Flying Sams,https://studentorg.ucsd.edu/Home/Details/9610
140,Food Recovery Network at UCSD,https://studentorg.ucsd.edu/Home/Details/8422
141,Frequency,https://studentorg.ucsd.edu/Home/Details/8527
142,Fronteras Saludables (Healthier Borders),https://studentorg.ucsd.edu/Home/Details/9637
143,Fun Talk and Learn Chinese Student Association (TLCSA),https://studentorg.ucsd.edu/Home/Details/8347
144,FUSION Hip-Hop Dance Events Association,https://studentorg.ucsd.edu/Home/Details/8606
145,Gamma Zeta Alpha Fraternity Inc,https://studentorg.ucsd.edu/Home/Details/11951
146,Gift of Life at UCSD,https://studentorg.ucsd.edu/Home/Details/8361
147,Global Development Council,https://studentorg.ucsd.edu/Home/Details/8514
148,Global Health Program Student Representatives,https://studentorg.ucsd.edu/Home/Details/11918
149,Global Medical Brigades,https://studentorg.ucsd.edu/Home/Details/8399
150,Global Medical Missions Alliance,https://studentorg.ucsd.edu/Home/Details/8523
151,Global Medical Training,https://studentorg.ucsd.edu/Home/Details/11928
152,Glory Church Campus Fellowship,https://studentorg.ucsd.edu/Home/Details/8366
153,Grad Pals Program,https://studentorg.ucsd.edu/Home/Details/10810
154,Graduate Christian Fellowship,https://studentorg.ucsd.edu/Home/Details/9625
155,GradWIC,https://studentorg.ucsd.edu/Home/Details/10724
156,Green Corps at UC San Diego,https://studentorg.ucsd.edu/Home/Details/10686
157,Groundwork Books Collective,https://studentorg.ucsd.edu/Home/Details/9628
158,GROW UCSD,https://studentorg.ucsd.edu/Home/Details/8354
159,Hanbit Church,https://studentorg.ucsd.edu/Home/Details/9644
160,Harvest Christian Fellowship at UCSD,https://studentorg.ucsd.edu/Home/Details/10681
161,Hawaii Club,https://studentorg.ucsd.edu/Home/Details/8398
162,Healing Hands at UCSD,https://studentorg.ucsd.edu/Home/Details/8584
163,Health and Medical Professions Preparation Program (HMP3),https://studentorg.ucsd.edu/Home/Details/8390
164,Health Care Frontiers,https://studentorg.ucsd.edu/Home/Details/8425
165,Health Guardians of America,https://studentorg.ucsd.edu/Home/Details/10693
166,Healthcare Advice and Mentorship,https://studentorg.ucsd.edu/Home/Details/8411
167,Hearthstoners at UCSD,https://studentorg.ucsd.edu/Home/Details/8467
168,Helping Students Focus,https://studentorg.ucsd.edu/Home/Details/8461
169,Hermanas Unidas de UCSD,https://studentorg.ucsd.edu/Home/Details/8541
170,Hindu Yuva,https://studentorg.ucsd.edu/Home/Details/11926
171,Hmong Student Association at UCSD (HSA at UCSD),https://studentorg.ucsd.edu/Home/Details/10712
172,"Homeless Charter, The",https://studentorg.ucsd.edu/Home/Details/8368
173,Hong Kong Cultural Society,https://studentorg.ucsd.edu/Home/Details/11948
174,Hong Kong Student Union,https://studentorg.ucsd.edu/Home/Details/8546
175,Hope Church of San Diego,https://studentorg.ucsd.edu/Home/Details/11852
176,House of Prayer at UCSD,https://studentorg.ucsd.edu/Home/Details/12035
177,Iaido at UCSD,https://studentorg.ucsd.edu/Home/Details/10779
178,IGNITE at UCSD,https://studentorg.ucsd.edu/Home/Details/8513
179,Imperial Valley Tritons,https://studentorg.ucsd.edu/Home/Details/10718
180,Imports@UCSD,https://studentorg.ucsd.edu/Home/Details/10783
181,Indian Student Association,https://studentorg.ucsd.edu/Home/Details/8371
182,Initiative for Music Education and Mentorship (IMEM),https://studentorg.ucsd.edu/Home/Details/8447
183,Innovative Student Project Groups,https://studentorg.ucsd.edu/Home/Details/8594
184,Insight Pre-Optometry,https://studentorg.ucsd.edu/Home/Details/8377
185,Institute of Electrical and Electronics Engineers (IEEE),https://studentorg.ucsd.edu/Home/Details/8445
186,Inter Varsity Christian Fellowship,https://studentorg.ucsd.edu/Home/Details/8463
187,Interaxon at UCSD,https://studentorg.ucsd.edu/Home/Details/8604
188,Inter-College Residents Association (ICRA),https://studentorg.ucsd.edu/Home/Details/10751
189,Interfraternity Council,https://studentorg.ucsd.edu/Home/Details/10741
190,Intergenerational Connections,https://studentorg.ucsd.edu/Home/Details/10680
191,Intermission Orchestra,https://studentorg.ucsd.edu/Home/Details/11923
192,International Christian Fellowship-West,https://studentorg.ucsd.edu/Home/Details/9612
193,International Family Union,https://studentorg.ucsd.edu/Home/Details/11998
194,International Graduate Student Ministry (IGSM) at UCSD,https://studentorg.ucsd.edu/Home/Details/10690
195,International Health Collective,https://studentorg.ucsd.edu/Home/Details/8586
196,International School Students Association (ISSA),https://studentorg.ucsd.edu/Home/Details/8555
197,International Society for Pharmaceutical Engineers (ISPE),https://studentorg.ucsd.edu/Home/Details/8571
198,International Studies Student Association (ISSA) at UCSD,https://studentorg.ucsd.edu/Home/Details/8380
199,Intersectional Health Project - San Diego,https://studentorg.ucsd.edu/Home/Details/11978
200,Inter-Sustainability Council,https://studentorg.ucsd.edu/Home/Details/8352
201,Its On Us at UCSD,https://studentorg.ucsd.edu/Home/Details/8583
202,IUSM (International Undergraduate Student Ministry),https://studentorg.ucsd.edu/Home/Details/9611
203,Japanese Student Association,https://studentorg.ucsd.edu/Home/Details/9642
204,Junior Panhellenic,https://studentorg.ucsd.edu/Home/Details/8452
205,Kappa Alpha Pi,https://studentorg.ucsd.edu/Home/Details/8409
206,Kappa Alpha Theta,https://studentorg.ucsd.edu/Home/Details/8439
207,Kappa Kappa Gamma,https://studentorg.ucsd.edu/Home/Details/8407
208,Kappa Sigma,https://studentorg.ucsd.edu/Home/Details/12095
209,Kappa Zeta Phi,https://studentorg.ucsd.edu/Home/Details/8421
210,Kendo Club at UCSD,https://studentorg.ucsd.edu/Home/Details/8520
211,Kidz Next Door,https://studentorg.ucsd.edu/Home/Details/8475
212,Klesis,https://studentorg.ucsd.edu/Home/Details/8568
213,Kojobs at UCSD,https://studentorg.ucsd.edu/Home/Details/8588
214,Kommon Society,https://studentorg.ucsd.edu/Home/Details/8406
215,Korea Campus Crusade for Christ (KCCC),https://studentorg.ucsd.edu/Home/Details/10722
216,Korean American Campus Mission,https://studentorg.ucsd.edu/Home/Details/8511
217,Korean American Scientists and Engineers Association - Young Generation,https://studentorg.ucsd.edu/Home/Details/8362
218,Korean American Student Association,https://studentorg.ucsd.edu/Home/Details/8587
219,Korean Graduate Student Association (KGSA),https://studentorg.ucsd.edu/Home/Details/11991
220,KOTX,https://studentorg.ucsd.edu/Home/Details/10767
221,Kyrie Eleison,https://studentorg.ucsd.edu/Home/Details/8372
222,"Lab, The",https://studentorg.ucsd.edu/Home/Details/8346
223,Lambda Chi Alpha,https://studentorg.ucsd.edu/Home/Details/11939
224,"Lambda Theta Alpha Latin Sorority, Inc.",https://studentorg.ucsd.edu/Home/Details/12031
225,"Lambda Theta Nu Sorority, Inc.",https://studentorg.ucsd.edu/Home/Details/10667
226,Lambda Theta Phi Latin Fraternity Inc.,https://studentorg.ucsd.edu/Home/Details/10730
227,Latin Dance Project,https://studentorg.ucsd.edu/Home/Details/12075
228,League of Tritons,https://studentorg.ucsd.edu/Home/Details/8482
229,Lebanese Social Club,https://studentorg.ucsd.edu/Home/Details/11977
230,LIFE Fellowship,https://studentorg.ucsd.edu/Home/Details/8359
231,Lighthouse College Life,https://studentorg.ucsd.edu/Home/Details/10774
232,Linguistics Undergraduate Association (LINGUA),https://studentorg.ucsd.edu/Home/Details/8375
233,Lion Dance at UCSD,https://studentorg.ucsd.edu/Home/Details/8440
234,Lumnus Consulting Junior Enterprise,https://studentorg.ucsd.edu/Home/Details/8360
235,M.E.M.O. at UCSD,https://studentorg.ucsd.edu/Home/Details/8378
236,Major Map Initiative,https://studentorg.ucsd.edu/Home/Details/11855
237,MakeNew,https://studentorg.ucsd.edu/Home/Details/10650
238,Malaysians in America at UCSD,https://studentorg.ucsd.edu/Home/Details/11973
239,Master Baking at UCSD,https://studentorg.ucsd.edu/Home/Details/10668
240,Medical Literature Society at UCSD,https://studentorg.ucsd.edu/Home/Details/8529
241,Metanoia Social Club,https://studentorg.ucsd.edu/Home/Details/10683
242,Microtomes,https://studentorg.ucsd.edu/Home/Details/8561
243,Mixed Student Union,https://studentorg.ucsd.edu/Home/Details/10825
244,Mock Trial @ UCSD,https://studentorg.ucsd.edu/Home/Details/8363
245,Model United Nations at UCSD,https://studentorg.ucsd.edu/Home/Details/8430
246,Morning Sign Out,https://studentorg.ucsd.edu/Home/Details/9646
247,Motorcycle Club at UCSD,https://studentorg.ucsd.edu/Home/Details/8476
248,Movimiento Estudiantil Chicanola de Aztlan (MECHA),https://studentorg.ucsd.edu/Home/Details/9602
249,Muir Musical,https://studentorg.ucsd.edu/Home/Details/10852
250,"Muir Quarterly, (MQ) The",https://studentorg.ucsd.edu/Home/Details/8559
251,Multi-Asian Student Association,https://studentorg.ucsd.edu/Home/Details/8495
252,Multicultural Greek Council,https://studentorg.ucsd.edu/Home/Details/12023
253,Music and Memory at UCSD,https://studentorg.ucsd.edu/Home/Details/8455
254,Musicians Club @ UCSD,https://studentorg.ucsd.edu/Home/Details/8349
255,Muslim Student Association,https://studentorg.ucsd.edu/Home/Details/10658
256,"Mustard Seed Project, The",https://studentorg.ucsd.edu/Home/Details/11916
257,NanoEngineering and Technology Society,https://studentorg.ucsd.edu/Home/Details/8423
258,National Residence Hall Honorary,https://studentorg.ucsd.edu/Home/Details/8552
259,Native American Student Alliance,https://studentorg.ucsd.edu/Home/Details/9617
260,Navigators,https://studentorg.ucsd.edu/Home/Details/8381
261,Neurodegenerative Disease Awareness Association (NDAA),https://studentorg.ucsd.edu/Home/Details/8470
262,New Life Student Ministry,https://studentorg.ucsd.edu/Home/Details/12027
263,Nikkei Student Union,https://studentorg.ucsd.edu/Home/Details/8345
264,No Lost Generation at UCSD,https://studentorg.ucsd.edu/Home/Details/10689
265,"Nu Alpha Kappa, Inc.",https://studentorg.ucsd.edu/Home/Details/8469
266,Ocean Lovers Club,https://studentorg.ucsd.edu/Home/Details/8401
267,Okinawa Karate Do at UCSD,https://studentorg.ucsd.edu/Home/Details/10781
268,Open Dyalog,https://studentorg.ucsd.edu/Home/Details/10807
269,Open Source at UCSD,https://studentorg.ucsd.edu/Home/Details/8544
270,Origami Folders at UCSD,https://studentorg.ucsd.edu/Home/Details/8472
271,osu! at UCSD,https://studentorg.ucsd.edu/Home/Details/8468
272,"Out in Science, Technology, Engineering, and Mathematics (oSTEM)",https://studentorg.ucsd.edu/Home/Details/8448
273,Pagasa,https://studentorg.ucsd.edu/Home/Details/8453
274,Pakistani Student Association,https://studentorg.ucsd.edu/Home/Details/11877
275,Panhellenic Association,https://studentorg.ucsd.edu/Home/Details/8451
276,PARSA,https://studentorg.ucsd.edu/Home/Details/10729
277,Pepitos,https://studentorg.ucsd.edu/Home/Details/8396
278,PERIOD. at UCSD,https://studentorg.ucsd.edu/Home/Details/8473
279,Persian American Student Association,https://studentorg.ucsd.edu/Home/Details/10801
280,Persians Pursuing Pre-Health Professions,https://studentorg.ucsd.edu/Home/Details/8464
281,Phi Beta Lambda at UC San Diego,https://studentorg.ucsd.edu/Home/Details/8543
282,Phi Delta Epsilon,https://studentorg.ucsd.edu/Home/Details/9652
283,Phi Delta Theta,https://studentorg.ucsd.edu/Home/Details/12046
284,Phi Gamma Delta,https://studentorg.ucsd.edu/Home/Details/11868
285,"Phi Iota Alpha Fraternity, Inc.",https://studentorg.ucsd.edu/Home/Details/10824
286,"Phi Lambda Rho Sorority, Inc.",https://studentorg.ucsd.edu/Home/Details/10655
287,Phi Sigma Pi,https://studentorg.ucsd.edu/Home/Details/8384
288,Phi Sigma Rho,https://studentorg.ucsd.edu/Home/Details/11981
289,Pi Alpha Phi,https://studentorg.ucsd.edu/Home/Details/12017
290,Pi Beta Phi,https://studentorg.ucsd.edu/Home/Details/12034
291,Pi Kappa Alpha,https://studentorg.ucsd.edu/Home/Details/8518
292,Pi Kappa Phi,https://studentorg.ucsd.edu/Home/Details/8373
293,PISA: Pacific Islander Student Association,https://studentorg.ucsd.edu/Home/Details/12090
294,Planned Parenthood Generation Action at UCSD,https://studentorg.ucsd.edu/Home/Details/11931
295,Pokemon League at UCSD,https://studentorg.ucsd.edu/Home/Details/8424
296,Pre-Dental Society/Free Dental Clinic at UCSD,https://studentorg.ucsd.edu/Home/Details/8428
297,Pre-Health Professionals Club,https://studentorg.ucsd.edu/Home/Details/10776
298,Pre-Medical APAMSA at UCSD,https://studentorg.ucsd.edu/Home/Details/8379
299,Pre-PA Student Organization (PPASO),https://studentorg.ucsd.edu/Home/Details/8538
300,Pre-Pharmacy Society (PPS),https://studentorg.ucsd.edu/Home/Details/10700
301,Pre-Veterinary Student Association at UCSD,https://studentorg.ucsd.edu/Home/Details/10684
302,Project BELL,https://studentorg.ucsd.edu/Home/Details/10795
303,Project Kilimanjaro,https://studentorg.ucsd.edu/Home/Details/8383
304,Project RISHI,https://studentorg.ucsd.edu/Home/Details/8503
305,Prospect - The Journal of International Affairs at UCSD,https://studentorg.ucsd.edu/Home/Details/10685
306,Psi Chi Omega,https://studentorg.ucsd.edu/Home/Details/11966
307,Psi Chi/Psychology Club,https://studentorg.ucsd.edu/Home/Details/8478
308,Public Health Brigades,https://studentorg.ucsd.edu/Home/Details/12028
309,Public Health Club at UCSD,https://studentorg.ucsd.edu/Home/Details/8564
310,Pushpanjali,https://studentorg.ucsd.edu/Home/Details/8357
311,Quality of Life Plus Club (QL+),https://studentorg.ucsd.edu/Home/Details/10725
312,Queer and Trans* People of Color (QT*POC) at UCSD,https://studentorg.ucsd.edu/Home/Details/12003
313,Queer Graduate Student Association,https://studentorg.ucsd.edu/Home/Details/9600
314,Quidditch,https://studentorg.ucsd.edu/Home/Details/10694
315,Quiz Bowl Club at UCSD,https://studentorg.ucsd.edu/Home/Details/8577
316,Rady Student Association,https://studentorg.ucsd.edu/Home/Details/10844
317,Ratio Christi at UCSD,https://studentorg.ucsd.edu/Home/Details/12020
318,Raza Graduate Student Association,https://studentorg.ucsd.edu/Home/Details/10787
319,re:make at UCSD,https://studentorg.ucsd.edu/Home/Details/10838
320,Red Cross at UCSD,https://studentorg.ucsd.edu/Home/Details/8395
321,Redeemer Campus Outreach San Diego,https://studentorg.ucsd.edu/Home/Details/8355
322,Redeemers Grace Church,https://studentorg.ucsd.edu/Home/Details/8420
323,Rising at UCSD,https://studentorg.ucsd.edu/Home/Details/10761
324,Role Playing Games Club,https://studentorg.ucsd.edu/Home/Details/8462
325,Rosa Parks Tutoring Program,https://studentorg.ucsd.edu/Home/Details/12074
326,Rotaract Club at UCSD,https://studentorg.ucsd.edu/Home/Details/8442
327,Rubiks Cube Club,https://studentorg.ucsd.edu/Home/Details/11895
328,Salsa Society,https://studentorg.ucsd.edu/Home/Details/8486
329,Saltman Quarterly,https://studentorg.ucsd.edu/Home/Details/8479
330,Samskrita Bharati UCSD,https://studentorg.ucsd.edu/Home/Details/10842
331,San Diego Arts Collective,https://studentorg.ucsd.edu/Home/Details/10760
332,San Diego Homeless Health Initiative,https://studentorg.ucsd.edu/Home/Details/9622
333,San Diego Indonesian Association,https://studentorg.ucsd.edu/Home/Details/8605
334,SangamSD,https://studentorg.ucsd.edu/Home/Details/8573
335,Sigma Alpha Epsilon,https://studentorg.ucsd.edu/Home/Details/8481
336,Sigma Alpha Mu Fraternity,https://studentorg.ucsd.edu/Home/Details/11920
337,Sigma Alpha Zeta,https://studentorg.ucsd.edu/Home/Details/11944
338,Sigma Kappa Sorority,https://studentorg.ucsd.edu/Home/Details/9601
339,Sigma Phi Epsilon,https://studentorg.ucsd.edu/Home/Details/8581
340,"Sigma Pi Alpha National Sorority, Inc.",https://studentorg.ucsd.edu/Home/Details/10849
341,Sikh Student Association,https://studentorg.ucsd.edu/Home/Details/11907
342,Sitaare,https://studentorg.ucsd.edu/Home/Details/8557
343,Sleepless Collective,https://studentorg.ucsd.edu/Home/Details/9599
344,Social Entrepreneurship Association,https://studentorg.ucsd.edu/Home/Details/10711
345,Society of Asian Scientists and Engineers at UCSD,https://studentorg.ucsd.edu/Home/Details/9620
346,Society of Civil and Structural Engineers,https://studentorg.ucsd.edu/Home/Details/8580
347,Society of Hispanic Professional Engineers,https://studentorg.ucsd.edu/Home/Details/8441
348,Society of Undergraduate Mathematics Students (SUMS),https://studentorg.ucsd.edu/Home/Details/10679
349,Society of Women Engineers (SWE),https://studentorg.ucsd.edu/Home/Details/8444
350,Speech and Debate at the University of California: San Diego,https://studentorg.ucsd.edu/Home/Details/10696
351,"Speech, Physical, and Occupational Therapy (SPOT) (formerly P-PT/OT Society)",https://studentorg.ucsd.edu/Home/Details/12088
352,Sri Lankan Students Association,https://studentorg.ucsd.edu/Home/Details/8510
353,StRIVE,https://studentorg.ucsd.edu/Home/Details/10652
354,Student Equities Trading Club,https://studentorg.ucsd.edu/Home/Details/10695
355,Student Foundation,https://studentorg.ucsd.edu/Home/Details/8563
356,Student Health Advocates,https://studentorg.ucsd.edu/Home/Details/12004
357,Student Housing Association,https://studentorg.ucsd.edu/Home/Details/10828
358,Student Involvement Leadership Consultant (SILC),https://studentorg.ucsd.edu/Home/Details/8426
359,Student Organization for Activism and Represenation,https://studentorg.ucsd.edu/Home/Details/8414
360,Student Veterans Organization,https://studentorg.ucsd.edu/Home/Details/11863
